Client_Num,Card_Category,Annual_Fees,Activation_30_Days,Customer_Acq_Cost,Week_Start_Date,Week_Num,Qtr,current_year,Credit_Limit,Total_Revolving_Bal,Total_Trans_Amt,Total_Trans_Vol,Avg_Utilization_Ratio,Use Chip,Exp Type,Interest_Earned,Delinquent_Acc,Customer_Age,Gender,Dependent_Count,Education_Level,Marital_Status,state_cd,Car_Owner,House_Owner,Personal_loan,Customer_Job,Income,Cust_Satisfaction_Score,Month
708082083,Blue,200,0,87,2023-01-01,Week-1,Q1,2023,3544.0,1661,15149,111,0.469,chip,Travel,4393.21,0,24,Female,1,Uneducated,Single,Florida,no,yes,no,Businessman,202326,3,January
708083283,Blue,445,1,108,2023-01-01,Week-1,Q1,2023,3421.0,2517,992,21,0.736,swipe,Entertainment,69.44,0,62,Female,0,Unknown,Married,New Jersey,no,no,no,Selfemployeed,5225,2,January
708084558,Blue,140,0,106,2023-01-01,Week-1,Q1,2023,8258.0,1771,1447,23,0.214,chip,Bills,202.58,0,32,Female,1,Unknown,Married,New Jersey,yes,no,no,Selfemployeed,14235,2,January
708085458,Blue,250,1,150,2023-01-01,Week-1,Q1,2023,1438.3,0,3940,82,0.0,online,Grocery,236.4,0,38,Male,2,Uneducated,Single,New York,no,no,no,Blue-Collar,45683,1,January
708086958,Blue,320,1,106,2023-01-01,Week-1,Q1,2023,3128.0,749,4369,59,0.239,swipe,Fuel,1004.87,1,48,Male,4,Graduate,Single,Texas,yes,yes,no,Businessman,59279,1,January
708095133,Blue,100,0,94,2023-01-01,Week-1,Q1,2023,33304.0,1833,1448,29,0.055,swipe,Bills,275.12,0,33,Female,1,High School,Single,New York,no,yes,no,Selfemployeed,14254,3,January
708098133,Blue,225,1,75,2023-01-01,Week-1,Q1,2023,2834.0,1418,1598,39,0.5,swipe,Bills,159.8,1,34,Female,3,Graduate,Single,California,yes,no,no,Selfemployeed,14975,2,January
708099183,Blue,400,1,75,2023-01-01,Week-1,Q1,2023,5723.0,1873,2732,63,0.327,swipe,Grocery,409.8,0,34,Female,2,Uneducated,Single,California,no,no,no,Retirees,31982,2,January
708100533,Blue,200,1,64,2023-01-01,Week-1,Q1,2023,2679.0,2277,4943,85,0.85,chip,Food,988.6,0,48,Male,2,High School,Married,New Jersey,yes,no,no,Businessman,86668,2,January
708103608,Platinum,95,1,80,2023-01-01,Week-1,Q1,2023,11898.0,2517,15798,128,0.212,chip,Grocery,3791.52,0,53,Female,1,Graduate,Married,New Jersey,yes,yes,no,Businessman,223196,1,January
708104658,Blue,455,1,118,2023-01-01,Week-1,Q1,2023,1438.3,890,2928,48,0.619,swipe,Fuel,732.0,0,31,Female,0,Post-Graduate,Single,California,no,yes,no,Businessman,33625,2,January
708108333,Blue,485,0,86,2023-01-01,Week-1,Q1,2023,5590.0,0,1507,32,0.0,swipe,Entertainment,150.7,0,34,Female,4,Graduate,Single,New York,no,no,no,Selfemployeed,14975,3,January
708112008,Blue,440,1,86,2023-01-01,Week-1,Q1,2023,23510.0,1049,1661,35,0.045,swipe,Grocery,465.08,0,51,Female,2,Graduate,Single,New Jersey,yes,yes,no,Selfemployeed,14975,2,January
708113208,Blue,300,1,149,2023-01-01,Week-1,Q1,2023,1688.0,0,4375,69,0.0,chip,Fuel,525.0,0,36,Male,1,High School,Single,New Jersey,yes,no,no,White-Collar,59416,3,January
708117933,Blue,360,0,70,2023-01-01,Week-1,Q1,2023,1880.0,0,2469,34,0.0,chip,Bills,419.73,1,49,Female,4,Graduate,Married,California,no,yes,no,Retirees,28122,1,January
708119658,Blue,340,0,44,2023-01-01,Week-1,Q1,2023,12836.0,1034,2519,53,0.081,swipe,Bills,554.18,0,53,Female,2,Graduate,Single,Florida,yes,no,no,Govt,29021,1,January
